1.06E+08,3.11503,0.00214
1.06E+08,3.10314,0.00213
1.06E+08,3.08991,0.00213
1.06E+08,3.07756,0.00212
1.06E+08,3.06537,0.00211
1.06E+08,3.0533,0.0021
1.06E+08,3.039,0.00209
1.06E+08,3.02645,0.00208
1.06E+08,3.01369,0.00207
1.06E+08,3.00104,0.00206
1.06E+08,2.98685,0.00206
1.06E+08,2.97362,0.00205
1.06E+08,2.96029,0.00204
1.06E+08,2.94667,0.00203
1.06E+08,2.93191,0.00202
1.06E+08,2.91791,0.00201
1.06E+08,2.9043,0.00199
1.06E+08,2.89002,0.00198
1.06E+08,2.87363,0.00197
1.07E+08,2.85867,0.00196
1.07E+08,2.84372,0.00195
1.07E+08,2.82885,0.00193
1.07E+08,2.8116,0.00192
1.07E+08,2.79558,0.0019
1.07E+08,2.77947,0.00189
1.07E+08,2.76355,0.00187
1.07E+08,2.74535,0.00186
1.07E+08,2.72781,0.00184
1.07E+08,2.71016,0.00182
1.07E+08,2.69243,0.0018
1.07E+08,2.6718,0.00178
1.07E+08,2.65196,0.00176
1.07E+08,2.63203,0.00174
1.07E+08,2.61141,0.00172
1.07E+08,2.58935,0.00169
1.07E+08,2.56759,0.00167
1.07E+08,2.54469,0.00164
1.07E+08,2.52062,0.00161
1.07E+08,2.49435,0.00158
1.07E+08,2.46809,0.00155
1.07E+08,2.44056,0.00151
1.07E+08,2.4121,0.00147
1.08E+08,2.38026,0.00143
1.08E+08,2.34785,0.00139
1.08E+08,2.31401,0.00134
1.08E+08,2.27806,0.00129
1.08E+08,2.23779,0.00123
1.08E+08,2.19618,0.00117
1.08E+08,2.15131,0.00111
1.08E+08,2.1007,0.00104
1.08E+08,2.04633,9.58E-04
1.08E+08,1.98573,8.72E-04
1.08E+08,1.9169,7.79E-04
1.08E+08,1.83417,6.77E-04
1.08E+08,1.73445,5.68E-04
1.08E+08,1.60234,4.49E-04
1.08E+08,1.40043,3.26E-04
1.08E+08,0.99901,2.08E-04
1.08E+08,0.07363,1.52E-04
1.08E+08,-0.78434,2.37E-04
1.08E+08,-1.15825,3.90E-04
1.08E+08,-1.37061,5.65E-04
1.08E+08,-1.52612,7.49E-04
1.08E+08,-1.65689,9.36E-04
1.08E+08,-1.7751,0.00112
1.09E+08,-1.88756,0.0013
1.09E+08,-1.99273,0.00148
1.09E+08,-2.09274,0.00164
1.09E+08,-2.18765,0.00178
1.09E+08,-2.2791,0.00191
1.09E+08,-2.36443,0.00202
1.09E+08,-2.44411,0.00212
1.09E+08,-2.51832,0.0022
1.09E+08,-2.58984,0.00227
1.09E+08,-2.65513,0.00233
1.09E+08,-2.7161,0.00237
1.09E+08,-2.77296,0.00241
1.09E+08,-2.8278,0.00244
1.09E+08,-2.87688,0.00247
1.09E+08,-2.9229,0.00248
1.09E+08,-2.96633,0.0025
1.09E+08,-3.009,0.00251
1.09E+08,-3.04734,0.00251
1.09E+08,-3.08368,0.00252
1.09E+08,-3.11763,0.00252
1.09E+08,-3.15175,0.00253
1.09E+08,-3.18254,0.00252
1.09E+08,-3.21149,0.00252
1.09E+08,-3.2391,0.00252
1.10E+08,-3.26738,0.00252
1.10E+08,-3.29269,0.00251
1.10E+08,-3.31714,0.00251
1.10E+08,-3.34072,0.0025
1.10E+08,-3.36527,0.0025
1.10E+08,-3.38702,0.00249
1.10E+08,-3.40774,0.00249
1.10E+08,-3.42758,0.00248
1.10E+08,-3.44907,0.00247
1.10E+08,-3.46823,0.00247
1.10E+08,-3.48673,0.00246
1.10E+08,-3.50476,0.00246
1.10E+08,-3.52326,0.00245
1.10E+08,-3.53995,0.00244
1.10E+08,-3.55682,0.00244
1.10E+08,-3.57283,0.00243
1.10E+08,-3.59039,0.00243
1.10E+08,-3.60678,0.00242
1.10E+08,-3.62182,0.00242
1.10E+08,-3.63688,0.00241
1.10E+08,-3.65346,0.00241
1.10E+08,-3.66823,0.0024
1.10E+08,-3.68289,0.00239
1.11E+08,-3.69699,0.00239
1.11E+08,-3.71252,0.00238
1.11E+08,-3.72623,0.00238
1.11E+08,-3.73937,0.00237
1.11E+08,-3.75241,0.00237
1.11E+08,-3.76717,0.00236
1.11E+08,-3.77991,0.00236
1.11E+08,-3.79277,0.00235
1.11E+08,-3.806,0.00235
1.11E+08,-3.81962,0.00235
1.11E+08,-3.83189,0.00234
1.11E+08,-3.84424,0.00234
1.11E+08,-3.85624,0.00233
1.11E+08,-3.86927,0.00233
1.11E+08,-3.88154,0.00232
1.11E+08,-3.89334,0.00232
1.11E+08,-3.90503,0.00231
1.11E+08,-3.91788,0.00231
1.11E+08,-3.929,0.00231
1.11E+08,-3.94033,0.0023
1.11E+08,-3.95172,0.0023
1.11E+08,-3.96457,0.00229
1.11E+08,-3.97579,0.00229
1.12E+08,-3.98682,0.00228
1.12E+08,-3.99775,0.00228
1.12E+08,-4.00993,0.00228
1.12E+08,-4.02133,0.00228
1.12E+08,-4.03236,0.00227
1.12E+08,-4.04347,0.00227
1.12E+08,-4.05527,0.00226
1.12E+08,-4.06592,0.00226
1.12E+08,-4.07655,0.00226
1.12E+08,-4.087,0.00225
1.12E+08,-4.09889,0.00225
1.12E+08,-4.10953,0.00225
1.12E+08,-4.12008,0.00224
1.12E+08,-4.13034,0.00224
1.12E+08,-4.14195,0.00224
1.12E+08,-4.15249,0.00223
1.12E+08,-4.16275,0.00223
1.12E+08,-4.1731,0.00222
1.12E+08,-4.18403,0.00222
1.12E+08,-4.19438,0.00222
