1.63E+11,1.53E-07,6.19E-07,5.93E-07
1.63E+11,3.53E-07,2.87E-07,3.73E-07
1.63E+11,6.13E-08,2.56E-07,3.61E-07
1.64E+11,9.08E-08,3.54E-07,2.20E-07
1.64E+11,4.98E-07,4.79E-07,1.56E-07
1.64E+11,3.04E-07,5.45E-07,6.31E-07
1.64E+11,6.92E-07,1.72E-07,4.50E-07
1.64E+11,5.63E-07,4.37E-07,9.66E-07
1.64E+11,2.31E-07,3.14E-07,9.57E-07
1.64E+11,2.05E-07,6.11E-07,6.68E-07
1.64E+11,3.34E-07,3.61E-07,1.24E-06
1.64E+11,8.27E-07,7.70E-07,4.07E-07
1.64E+11,6.46E-07,5.46E-07,6.03E-07
1.64E+11,4.96E-07,4.01E-07,3.55E-07
1.64E+11,4.26E-07,3.04E-07,3.95E-07
1.64E+11,5.39E-07,3.97E-07,1.42E-06
1.64E+11,3.47E-07,6.94E-07,7.51E-07
1.64E+11,3.67E-07,3.39E-07,1.23E-06
1.64E+11,4.83E-07,8.58E-07,1.47E-06
1.64E+11,5.70E-07,6.77E-07,1.62E-06
1.64E+11,4.32E-07,8.64E-07,1.72E-06
1.64E+11,2.16E-07,1.05E-06,1.43E-06
1.64E+11,4.30E-07,5.31E-07,7.94E-07
1.64E+11,1.99E-07,4.62E-07,1.76E-06
1.64E+11,4.74E-07,2.61E-07,1.93E-06
1.65E+11,5.33E-07,3.27E-07,2.71E-06
1.65E+11,2.25E-07,4.73E-07,2.12E-06
1.65E+11,5.32E-07,5.66E-07,3.47E-06
1.65E+11,8.52E-07,1.00E-06,4.94E-06
1.65E+11,5.43E-07,8.41E-07,4.56E-06
1.65E+11,2.61E-07,1.20E-06,4.16E-06
1.65E+11,6.95E-07,1.11E-06,2.76E-06
1.65E+11,6.47E-08,1.39E-06,4.87E-06
1.65E+11,1.33E-07,1.39E-06,5.75E-06
1.65E+11,5.31E-07,2.39E-06,6.67E-06
1.65E+11,1.02E-06,2.42E-06,6.08E-06
1.65E+11,1.04E-06,3.14E-06,7.90E-06
1.65E+11,7.30E-07,2.55E-06,8.73E-06
1.65E+11,6.86E-07,3.41E-06,8.48E-06
1.65E+11,1.09E-06,3.18E-06,8.99E-06
1.65E+11,8.47E-07,3.17E-06,1.04E-05
1.65E+11,3.20E-07,3.44E-06,8.94E-06
1.65E+11,2.99E-07,3.43E-06,1.03E-05
1.65E+11,3.50E-07,2.96E-06,1.10E-05
1.65E+11,4.23E-07,2.44E-06,9.10E-06
1.65E+11,8.41E-07,4.47E-06,1.05E-05
1.66E+11,7.47E-07,4.65E-06,1.13E-05
1.66E+11,3.43E-07,4.80E-06,1.07E-05
1.66E+11,5.43E-07,4.94E-06,1.17E-05
1.66E+11,6.33E-07,4.28E-06,1.23E-05
1.66E+11,9.43E-07,4.82E-06,1.52E-05
1.66E+11,9.46E-07,5.70E-06,1.16E-05
1.66E+11,8.06E-07,4.71E-06,1.43E-05
1.66E+11,1.48E-06,6.45E-06,1.22E-05
1.66E+11,1.15E-06,6.38E-06,1.51E-05
1.66E+11,1.80E-06,6.96E-06,1.40E-05
1.66E+11,1.21E-06,7.51E-06,1.78E-05
1.66E+11,2.33E-06,6.79E-06,1.47E-05
1.66E+11,1.20E-06,4.93E-06,1.29E-05
1.66E+11,4.74E-07,5.97E-06,1.34E-05
1.66E+11,4.81E-07,6.21E-06,1.54E-05
1.66E+11,8.47E-07,6.51E-06,1.39E-05
1.66E+11,5.39E-07,6.09E-06,1.34E-05
1.66E+11,3.12E-07,5.79E-06,1.42E-05
1.66E+11,1.28E-06,6.90E-06,1.49E-05
1.66E+11,1.12E-06,7.46E-06,1.54E-05
1.66E+11,7.83E-07,8.94E-06,1.53E-05
1.66E+11,7.37E-07,8.09E-06,1.43E-05
1.67E+11,1.69E-06,7.40E-06,1.59E-05
1.67E+11,1.31E-06,6.53E-06,1.35E-05
1.67E+11,1.53E-06,6.68E-06,1.55E-05
1.67E+11,1.63E-06,7.05E-06,1.43E-05
1.67E+11,1.51E-06,7.59E-06,1.36E-05
1.67E+11,1.42E-06,7.89E-06,1.51E-05
1.67E+11,1.17E-06,6.92E-06,1.43E-05
1.67E+11,1.03E-06,6.23E-06,1.59E-05
1.67E+11,1.71E-06,7.38E-06,1.76E-05
1.67E+11,6.75E-07,6.58E-06,1.56E-05
1.67E+11,1.42E-06,5.92E-06,1.65E-05
1.67E+11,1.21E-06,4.67E-06,1.28E-05
1.67E+11,7.12E-07,3.75E-06,1.40E-05
1.67E+11,5.67E-07,5.32E-06,1.48E-05
1.67E+11,7.30E-07,4.76E-06,1.45E-05
1.67E+11,4.58E-07,4.28E-06,1.67E-05
