0.916,-139.287
0.9166,-139.275
0.9172,-142.383
0.9178,-140.758
0.9184,-141.327
0.919,-142.945
0.9196,-141.013
0.9202,-141.226
0.9208,-138.96
0.9214,-138.926
0.922,-143.134
0.9226,-142.387
0.9232,-142.176
0.9238,-145.32
0.9244,-140.384
0.925,-140.09
0.9256,-141.716
0.9262,-140.72
0.9268,-140.221
0.9274,-139.831
0.928,-141.161
0.9286,-139.707
0.9292,-140.519
0.9298,-145.74
0.9304,-142.998
0.931,-143.126
0.9316,-146.034
0.9322,-147.786
0.9328,-139.849
0.9334,-134.047
0.934,-133.248
0.9346,-134.362
0.9352,-140.598
0.9358,-143.619
0.9364,-144.358
0.937,-147.017
0.9376,-142.565
0.9382,-142.355
0.9388,-142.838
0.9394,-140.676
0.94,-140.767
0.9406,-144.338
0.9412,-144.674
0.9418,-144.456
0.9424,-145.812
0.943,-142.073
0.9436,-142.643
0.9442,-149.385
0.9448,-146.27
0.9454,-145.635
0.946,-143.606
0.9466,-141.875
0.9472,-144.073
0.9478,-144.498
0.9484,-140.606
0.949,-140.57
0.9496,-142.989
0.9502,-141.368
0.9508,-140.005
0.9514,-141.185
0.952,-143.638
0.9526,-140.539
0.9532,-138.199
0.9538,-138.493
0.9544,-141.486
0.955,-143.153
0.9556,-142.012
0.9562,-138.339
0.9568,-138.327
0.9574,-136.75
0.958,-136.683
0.9586,-139.558
0.9592,-148.37
0.9598,-143.965
0.9604,-144.08
0.961,-145.748
0.9616,-143.413
0.9622,-138.381
0.9628,-138.214
0.9634,-141.328
0.964,-143.245
0.9646,-145.575
0.9652,-146.489
0.9658,-143.725
0.9664,-139.785
0.967,-139.78
0.9676,-142.329
0.9682,-143.64
0.9688,-145.682
0.9694,-145.201
0.97,-143.128
0.9706,-139.059
0.9712,-138.569
0.9718,-138.652
0.9724,-139.524
0.973,-138.866
0.9736,-138.247
0.9742,-134.505
0.9748,-131.271
0.9754,-126.946
0.976,-126.806
0.9766,-131.131
0.9772,-131.499
0.9778,-131.789
0.9784,-135.628
0.979,-136.789
0.9796,-134.634
0.9802,-134.379
0.9808,-136.547
0.9814,-136.309
0.982,-138.25
